Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta
AU,Fortress,112.27,24.62,Basic Materials,8.24,15.64,42.49,19.41,2.581,11.39,56.68,0.62
GFI,Fortress,57.27,27.4,Basic Materials,8.21,24.17,46.44,35.92,1.886,40.44,51.54,0.68
VNOM,Fortress,43.85,18.05,Energy,8.01,11.51,50.63,72.8,1.879,7.82,14.3,0.43
AEM,Fortress,217.19,31.75,Basic Materials,7.89,10.21,53.1,29.01,2.12,33.63,109.04,0.66
ADI,Fortress,337.0,74.07,Technology,7.83,6.77,30.5,27.79,2.19,9.54,165.01,1.03
NXT,Fortress,119.9,30.59,Technology,7.83,30.62,19.41,14.62,2.36,50.48,18.03,2.36
WSM,Fortress,213.16,23.53,Consumer Cyclical,7.79,42.19,16.95,17.37,1.427,,25.45,1.64
WDC,Fortress,273.74,25.87,Technology,7.78,17.32,15.4,7.61,1.455,4.17,93.59,1.84
SGHC,Fortress,8.52,20.29,Consumer Cyclical,7.69,31.26,23.52,10.14,1.75,32.04,4.31,1.1
LPX,Fortress,97.01,31.39,Industrials,7.51,24.81,4.98,26.98,2.932,43.08,6.76,1.78
SHOO,Fortress,38.61,49.5,Consumer Cyclical,7.5,23.85,5.13,12.08,1.91,,2.81,1.11
EXLS,Fortress,30.25,20.44,Technology,7.45,21.13,14.37,14.12,2.905,14.57,4.89,0.88
LULU,Fortress,175.86,12.23,Consumer Cyclical,7.39,43.47,16.99,22.47,2.13,100.0,20.86,1.01
YETI,Fortress,47.46,24.72,Consumer Cyclical,7.37,27.07,11.14,13.6,2.163,,3.85,1.77
ELF,Fortress,76.82,43.4,Consumer Defensive,7.27,15.14,13.8,11.51,2.759,9.74,4.58,1.68
TT,Fortress,472.54,35.93,Industrials,7.27,25.8,15.5,16.94,1.251,17.23,104.78,1.21
ALKS,Fortress,34.91,17.37,Healthcare,7.25,29.32,22.6,14.92,3.672,20.65,5.76,0.46
OLLI,Fortress,113.75,31.42,Consumer Defensive,7.14,11.91,9.03,10.84,2.5,100.0,6.98,0.53
AGI,Fortress,46.25,36.13,Basic Materials,7.11,10.53,80.68,28.96,1.717,35.88,19.42,0.94
CMG,Fortress,37.22,32.65,Consumer Cyclical,6.99,25.78,15.21,16.25,1.235,100.0,49.22,1.0
PEGA,Fortress,37.93,24.79,Technology,6.83,31.53,3.79,6.89,1.359,219.39,6.49,1.07
TS,Fortress,48.65,13.08,Energy,6.69,14.69,20.03,21.59,4.079,42.76,24.56,0.55
ROST,Fortress,192.54,30.08,Consumer Cyclical,6.66,27.53,11.58,11.64,1.52,44.5,62.62,0.99
SN,Fortress,125.31,30.94,Consumer Cyclical,6.65,22.21,16.13,10.21,1.957,9.98,17.69,1.36
PAAS,Fortress,59.88,34.61,Basic Materials,6.63,7.36,30.05,7.2,2.313,10.07,25.27,1.24
KGC,Fortress,34.82,24.35,Basic Materials,6.61,15.62,44.25,13.05,2.83,30.33,42.57,1.26
PHM,Fortress,139.32,12.53,Consumer Cyclical,6.51,17.46,16.3,20.38,7.55,4813.1,27.16,1.34
KEYS,Fortress,238.02,47.32,Technology,6.49,12.46,15.29,20.62,2.35,12.27,40.9,1.2
ULS,Fortress,72.55,43.44,Industrials,6.46,22.82,19.8,14.74,1.328,8.55,14.58,
CTSH,Fortress,70.91,15.55,Technology,6.44,18.27,16.0,15.24,2.337,55.41,34.22,0.96
ZTS,Fortress,128.67,21.63,Healthcare,6.44,31.02,39.33,36.21,3.643,14.92,57.02,0.96
CDE,Fortress,23.08,32.51,Basic Materials,6.36,8.89,33.28,8.68,1.999,3.58,14.82,1.22
DHI,Fortress,163.85,14.91,Consumer Cyclical,6.36,13.2,11.02,17.22,6.332,100.0,47.7,1.45
DV,Fortress,9.61,36.96,Communication Services,6.34,7.67,11.19,12.15,3.978,80.42,1.57,0.98
SVM,Fortress,11.47,0.0,Basic Materials,6.27,10.35,54.5,30.35,1.243,22.11,2.54,1.56
ETN,Fortress,396.09,37.87,Industrials,6.2,15.38,19.87,15.59,1.319,36.12,154.2,1.18
PWR,Fortress,523.96,77.74,Industrials,6.19,11.18,7.11,5.13,1.344,6.98,78.13,1.13
QCOM,Fortress,141.04,28.44,Technology,5.86,32.51,27.47,28.58,2.505,20.07,150.64,1.24
HXL,Fortress,87.85,64.12,Industrials,5.77,7.85,12.5,9.21,2.264,5.96,6.99,1.03
FERG,Fortress,267.36,27.09,Industrials,5.74,22.33,9.38,9.25,1.878,13.75,53.68,1.14
GIL,Fortress,72.43,23.29,Consumer Cyclical,5.73,20.83,23.23,19.48,2.008,7.02,13.41,1.03
INTU,Fortress,399.69,27.41,Technology,5.7,19.11,15.7,22.96,1.386,20.57,111.27,1.23
GLW,Fortress,132.9,72.62,Technology,5.65,5.01,16.32,10.21,1.588,3.47,113.94,1.12
CGAU,Fortress,19.84,12.32,Basic Materials,5.62,8.84,34.06,13.73,2.888,160.69,4.01,1.27
LRN,Fortress,85.87,13.19,Consumer Defensive,5.6,19.77,5.38,11.99,7.27,37.48,3.77,0.12
CAT,Fortress,775.0,41.27,Industrials,5.58,25.02,14.01,16.96,1.436,27.12,363.07,1.55
HALO,Fortress,79.51,16.77,Healthcare,5.51,29.89,61.51,49.45,1.587,31.79,9.35,0.98
BRBR,Fortress,17.59,12.13,Consumer Defensive,5.5,54.3,14.61,16.89,2.234,5.23,2.08,0.72
FFIV,Fortress,282.67,23.38,Technology,5.4,16.81,26.04,20.93,1.554,100.0,16.06,1.01
DLO,Fortress,12.82,22.89,Technology,5.38,30.69,19.68,28.06,1.456,302.44,3.78,1.1
SOLS,Fortress,74.95,75.71,Basic Materials,5.35,19.1,17.65,23.23,1.532,5.03,11.9,
TEL,Fortress,228.46,32.97,Technology,5.29,16.44,20.9,18.3,1.651,42.61,67.06,1.24
ALGN,Fortress,197.51,34.96,Healthcare,5.28,16.08,15.24,19.0,1.363,100.0,14.32,1.83
DXCM,Fortress,68.15,37.86,Healthcare,5.25,20.49,20.05,13.92,1.565,38.32,26.73,1.49
DT,Fortress,37.13,61.88,Technology,5.23,6.5,14.11,9.07,1.565,,11.19,0.81
SHLS,Fortress,9.79,51.53,Technology,5.22,7.26,18.78,16.57,2.19,3.74,1.64,1.71
FSLR,Fortress,227.74,17.48,Technology,5.18,14.38,29.23,16.04,1.91,37.18,24.44,1.63
ANF,Fortress,91.48,8.8,Consumer Cyclical,5.16,35.93,12.0,9.51,1.384,64.65,4.31,1.16
MGY,Fortress,26.96,15.58,Energy,5.1,20.06,29.62,50.75,1.536,35.32,5.14,0.91
ACMR,Fortress,70.68,41.09,Technology,5.09,14.03,10.75,16.64,3.479,41.06,4.59,1.48
GNRC,Fortress,214.99,41.11,Industrials,5.08,12.25,9.25,13.59,2.183,5.56,12.62,1.81
PNR,Fortress,100.52,25.58,Industrials,5.08,14.55,20.09,17.83,1.607,9.11,16.48,1.22
IAG,Fortress,22.49,39.46,Basic Materials,5.05,20.2,35.3,7.83,1.684,374.85,13.34,1.98
A,Fortress,128.9,28.21,Healthcare,4.97,14.9,26.38,21.88,1.957,13.81,36.54,1.3
AMKR,Fortress,56.17,37.45,Technology,4.91,9.04,9.8,9.82,2.269,7.64,13.88,1.95
MWA,Fortress,29.44,23.18,Industrials,4.84,17.64,18.86,13.99,4.019,14.38,4.6,1.17
TTEK,Fortress,40.42,30.39,Industrials,4.8,14.41,12.88,9.98,1.314,10.29,10.54,0.9
ACN,Fortress,230.43,19.06,Technology,4.79,23.31,16.97,14.6,1.411,45.94,142.9,1.24
JHX,Fortress,26.0,59.09,Basic Materials,4.79,15.53,11.96,22.3,1.793,16.74,15.08,0.89
AS,Fortress,39.81,72.38,Consumer Cyclical,4.71,5.6,12.87,7.29,1.511,1.74,22.08,2.85
SWKS,Fortress,63.68,24.4,Technology,4.67,8.4,14.71,21.06,2.396,20.44,9.58,1.32
ABNB,Fortress,119.55,28.46,Consumer Cyclical,4.55,23.64,39.68,17.47,1.392,,73.19,1.14
SMCI,Fortress,32.04,23.39,Technology,4.55,10.89,3.74,7.73,1.697,21.34,19.19,1.52
FIVE,Fortress,206.12,37.07,Consumer Cyclical,4.53,9.04,4.17,10.93,1.605,,11.37,1.13
XYL,Fortress,126.77,32.34,Industrials,4.44,7.99,16.27,11.39,1.625,25.7,30.86,1.16
DKS,Fortress,204.41,16.63,Consumer Cyclical,4.43,21.31,5.56,12.61,1.572,29.67,18.39,1.26
YELP,Fortress,23.21,10.36,Communication Services,4.42,18.23,14.0,6.14,2.989,100.0,1.46,0.53
RIO,Fortress,99.52,15.85,Basic Materials,4.4,18.94,25.05,34.74,1.526,10.59,198.66,0.62
FSM,Fortress,11.41,13.58,Basic Materials,4.39,12.97,64.23,18.55,3.298,8.31,3.51,1.68
NKE,Fortress,62.35,36.46,Consumer Cyclical,4.36,14.23,8.09,11.53,2.063,100.0,92.3,1.28
FLS,Fortress,86.54,32.78,Industrials,4.35,11.29,16.27,7.35,2.026,6.57,11.0,1.3
