Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Analyst_Rating,Target_Price,Upside_%
ATI,Fortress,124.35,40.11,Industrials,4.77,15.17,15.11,9.69,2.502,4.91,17.14,1.33333,133.0,6.96
ECL,Fortress,277.07,39.87,Basic Materials,5.39,16.55,14.71,13.92,1.697,8.56,78.58,2.03704,294.9524,6.45
DOV,Fortress,206.61,26.87,Industrials,5.9,18.31,18.69,15.99,2.042,14.39,28.34,1.85,219.9015,6.43
VMC,Fortress,305.97,36.08,Basic Materials,3.9,8.59,23.62,16.62,2.231,7.13,40.43,1.73913,325.47827,6.38
RAL,Fortress,53.53,33.04,Technology,4.54,9.44,9.83,21.59,1.488,100.0,6.04,2.25,56.81818,6.14
MAS,Fortress,70.47,18.02,Industrials,4.22,36.46,15.81,15.49,1.878,12.73,14.75,2.47826,74.63158,5.91
GD,Fortress,367.38,23.81,Industrials,4.09,12.96,10.46,10.4,1.4,12.55,99.24,2.17391,388.356,5.71
FSM,Fortress,10.42,12.4,Basic Materials,4.11,12.97,64.23,18.55,3.298,8.31,3.2,2.5,11.0,5.57
IAG,Fortress,17.17,30.12,Basic Materials,4.09,20.2,35.3,7.83,1.684,374.85,10.18,2.0,18.1,5.42
PPC,Fortress,41.37,8.02,Consumer Defensive,3.79,19.43,10.4,5.15,1.512,9.76,9.83,2.5,43.57143,5.32
TMO,Fortress,618.72,35.72,Healthcare,4.53,10.03,19.28,20.02,1.498,6.06,232.46,1.53846,651.5217,5.3
ALGN,Fortress,171.49,33.23,Healthcare,4.8,16.08,15.67,19.0,1.289,100.0,12.43,2.16667,180.46667,5.23
OPCH,Fortress,36.03,28.6,Healthcare,3.99,12.59,5.89,6.35,1.557,6.78,5.85,1.5,37.90909,5.22
MWA,Fortress,26.31,21.57,Industrials,4.49,17.64,20.35,13.99,3.544,14.38,4.11,2.33333,27.66667,5.16
WPM,Fortress,135.35,61.24,Basic Materials,224.89,8.72,66.54,50.89,8.089,2269.82,61.53,1.4375,142.303,5.14
TOL,Fortress,146.68,10.87,Consumer Cyclical,4.15,15.08,17.67,16.61,4.108,,14.14,1.94118,154.13333,5.08
FERG,Fortress,249.0,25.18,Industrials,5.56,22.33,9.38,9.25,1.878,13.75,49.99,1.84,261.45456,5.0
CNM,Fortress,58.5,25.66,Industrials,3.71,14.37,10.67,10.21,2.265,5.06,11.55,2.06667,61.0625,4.38
FLS,Fortress,77.17,22.43,Industrials,4.19,11.29,13.6,7.35,2.103,6.57,10.09,1.63636,80.5,4.32
MRK,Fortress,108.83,14.4,Healthcare,4.31,23.91,40.8,23.59,1.661,16.69,271.83,1.89655,113.48148,4.27
NUE,Fortress,174.39,24.49,Basic Materials,4.64,10.81,10.42,19.62,2.774,13.73,39.91,1.53333,181.61539,4.14
DHI,Fortress,155.96,13.48,Consumer Cyclical,6.24,13.2,12.47,17.22,6.421,100.0,45.55,2.5,162.35715,4.1
CTSH,Fortress,84.74,19.62,Technology,7.22,18.27,15.99,15.24,2.358,55.41,41.39,2.2963,87.99583,3.84
EXEL,Fortress,43.96,18.47,Healthcare,11.98,27.12,42.89,18.41,3.752,100.0,11.83,2.1,45.61111,3.76
INFY,Fortress,18.63,24.19,Technology,10.84,36.24,18.38,21.48,1.812,91.76,75.37,2.46667,19.2899,3.54
SLB,Fortress,46.73,18.18,Energy,3.34,17.12,15.48,15.21,1.387,12.08,69.81,1.46667,48.36483,3.5
BLDR,Fortress,126.79,24.06,Industrials,3.54,18.12,5.8,12.76,1.786,7.68,14.02,2.2,131.0,3.32
TSEM,Fortress,129.83,75.05,Technology,21.48,7.92,12.78,14.02,6.61,54.97,14.6,1.8,134.0,3.21
VLO,Fortress,183.46,38.14,Energy,4.7,9.53,5.53,5.47,1.596,7.65,56.99,2.15,189.0,3.02
ON,Fortress,60.33,82.64,Technology,5.02,14.89,18.5,27.98,5.231,30.49,24.67,2.32353,61.96667,2.71
KEYS,Fortress,214.2,42.75,Technology,6.04,12.46,15.29,20.62,2.35,12.27,36.8,1.76923,220.0,2.71
DE,Fortress,514.4,27.78,Industrials,3.03,12.82,12.38,20.82,2.262,2.97,139.44,2.16,528.26086,2.69
ASO,Fortress,58.61,10.77,Consumer Cyclical,3.09,14.6,7.26,11.68,1.706,15.6,3.91,2.11111,59.94444,2.28
ASM,Fortress,7.04,50.29,Basic Materials,28.88,11.12,32.56,6.68,2.754,38.26,1.1,1.5,7.2,2.27
PWR,Fortress,466.75,68.94,Industrials,5.74,11.18,7.11,5.13,1.344,6.98,69.6,1.8,477.2472,2.25
ADI,Fortress,300.191,65.83,Technology,7.06,6.77,30.5,27.79,2.19,9.54,146.99,1.72222,306.5625,2.12
SHOO,Fortress,45.6,58.46,Consumer Cyclical,8.06,23.85,5.13,12.08,1.91,,3.31,1.77778,46.55556,2.1
AEM,Fortress,197.48,28.91,Basic Materials,7.24,10.21,53.1,29.01,2.12,33.63,99.14,1.75,201.54546,2.06
GLW,Fortress,94.2,60.38,Technology,4.45,5.01,14.56,10.21,1.556,3.47,80.76,1.64286,95.92308,1.83
IR,Fortress,88.16,65.3,Industrials,3.71,8.31,20.48,16.28,2.162,6.31,35.04,2.0625,89.77,1.83
GFI,Fortress,49.41,23.64,Basic Materials,7.32,24.17,46.44,35.92,1.886,40.44,44.47,2.25,50.28125,1.76
FOXA,Fortress,71.99,16.18,Communication Services,3.52,17.07,26.32,18.62,3.238,8.6,31.96,2.10526,73.21875,1.71
ACN,Fortress,286.21,23.63,Technology,5.41,23.31,16.97,14.6,1.411,45.94,177.49,2.07407,290.59384,1.53
FND,Fortress,76.07,38.03,Consumer Cyclical,3.27,6.73,6.11,9.03,1.27,92.38,8.2,2.5,77.13636,1.4
MNST,Fortress,78.17,44.41,Consumer Defensive,29.56,29.15,30.74,27.67,3.185,100.0,76.37,2.0,79.16545,1.27
BWXT,Fortress,217.89,65.43,Industrials,9.37,16.2,10.91,13.47,1.708,9.83,19.92,1.83333,220.4,1.15
NEM,Fortress,114.12,17.78,Basic Materials,3.56,10.15,46.85,16.86,2.039,13.21,125.36,1.71429,115.245,0.99
RGLD,Fortress,265.12,36.37,Basic Materials,52.53,13.18,50.53,51.72,3.516,44.71,22.38,1.81818,267.63635,0.95
APH,Fortress,154.39,51.46,Technology,11.77,18.6,27.48,20.72,2.07,14.88,188.98,1.77778,155.76389,0.89
TPR,Fortress,130.69,99.76,Consumer Cyclical,3.75,6.0,21.21,17.6,1.525,3.53,27.05,1.90476,131.5,0.62
RIO,Fortress,85.13,13.56,Basic Materials,3.59,18.94,25.05,34.74,1.526,10.59,138.33,1.875,85.5,0.43
HAL,Fortress,32.57,21.57,Energy,3.56,18.86,12.86,15.52,1.955,8.19,27.77,1.92593,32.68,0.34
ROST,Fortress,192.36,30.01,Consumer Cyclical,6.66,27.53,11.58,11.64,1.52,44.5,62.56,1.77778,192.6875,0.17
CDE,Fortress,22.58,31.8,Basic Materials,6.2,8.89,33.28,8.68,1.999,3.58,14.5,1.83333,22.58333,0.01
GOOG,Fortress,330.34,32.58,Communication Services,21.73,33.25,30.51,29.14,1.747,448.07,3987.81,1.43939,330.15,-0.06
UPS,Fortress,106.91,16.52,Industrials,3.18,15.49,10.17,11.39,1.305,9.59,90.7,2.3,105.92857,-0.92
AU,Fortress,99.03,21.72,Basic Materials,7.38,15.64,42.49,19.41,2.581,11.39,50.0,2.0,98.0,-1.04
SOLS,Fortress,60.89,61.51,Basic Materials,4.62,19.1,17.65,23.23,1.532,5.03,9.66,2.0,59.16667,-2.83
ASML,Fortress,1358.766,48.32,Technology,12.39,32.26,32.84,32.64,1.308,56.61,527.4,1.48718,1313.6864,-3.32
INCY,Fortress,106.21,17.97,Healthcare,7.31,8.39,31.63,14.38,3.195,139.87,20.85,2.28,102.61905,-3.38
FCX,Fortress,58.71,41.06,Basic Materials,3.01,14.64,28.06,30.34,2.455,22.65,84.3,1.7619,56.645,-3.52
B,Fortress,48.73,23.43,Basic Materials,4.07,11.18,49.01,30.18,2.944,11.89,83.32,1.68182,46.65385,-4.26
PCAR,Fortress,121.36,23.8,Industrials,3.78,16.07,9.92,13.51,5.69,100.0,63.74,2.38095,116.08706,-4.34
ODFL,Fortress,175.679,35.35,Industrials,20.82,31.47,25.66,27.6,1.204,7348.16,36.92,2.5,167.16667,-4.85
PAAS,Fortress,55.2,31.91,Basic Materials,6.15,7.36,30.05,7.2,2.313,10.07,23.3,2.0,52.25,-5.34
CAT,Fortress,646.89,33.22,Industrials,5.05,25.02,17.75,16.96,1.384,27.12,303.05,2.17857,609.1104,-5.84
WSM,Fortress,211.51,23.32,Consumer Cyclical,7.75,42.19,16.95,17.37,1.427,,25.25,2.3913,199.0,-5.91
MU,Fortress,362.75,34.48,Technology,10.48,14.2,44.97,7.06,2.46,21.24,408.28,1.59524,339.07693,-6.53
WDC,Fortress,221.51,31.15,Technology,6.53,17.32,15.4,7.61,1.213,4.17,75.93,1.59259,205.33333,-7.3
TER,Fortress,228.145,82.66,Technology,26.54,19.87,18.89,24.67,1.759,170.8,36.29,1.82353,210.625,-7.68
RVLV,Fortress,30.37,39.44,Consumer Cyclical,8.97,10.95,7.44,6.27,2.704,100.0,2.17,2.0625,28.0,-7.8
ENTG,Fortress,117.35,61.76,Technology,3.25,6.83,15.4,16.06,3.444,2.5,17.79,1.75,106.08333,-9.6
SQM,Fortress,77.53,0.0,Basic Materials,3.63,12.53,24.44,36.54,2.823,6.18,22.15,2.35294,70.0,-9.71
AMAT,Fortress,327.01,37.72,Technology,14.05,33.71,28.44,29.46,2.61,35.46,260.51,1.76923,295.0303,-9.78
LRCX,Fortress,222.96,49.22,Technology,18.85,41.53,34.35,30.48,2.207,34.43,281.16,1.72222,199.35484,-10.59
KGC,Fortress,33.66,23.54,Basic Materials,6.39,15.62,44.25,13.05,2.83,30.33,41.15,1.88889,29.9,-11.17
YETI,Fortress,50.77,26.44,Consumer Cyclical,7.67,27.07,11.14,13.6,2.163,,4.12,2.375,43.57143,-14.18
ACMR,Fortress,53.626,31.18,Technology,4.21,14.03,10.75,16.64,3.479,41.06,3.48,1.5,41.64286,-22.35
CGAU,Fortress,16.13,10.02,Basic Materials,4.88,8.84,34.06,13.73,2.888,160.69,3.26,2.5,11.3,-29.94
