Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta
CTVA,Risky,75.32,43.04,Basic Materials,2.49,4.95,5.73,11.03,1.43,6.47,50.9,0.74
STZ,Risky,163.2,25.58,Consumer Defensive,2.49,1.87,33.92,32.24,1.339,0.8,28.41,0.44
SARO,Risky,29.89,53.38,Industrials,2.47,7.37,8.93,6.57,2.18,1.29,9.95,
LFST,Risky,6.93,0.0,Healthcare,2.46,-1.64,2.02,-21.95,1.577,-1.17,2.7,1.11
BZ,Risky,18.34,23.22,Communication Services,2.37,7.76,31.76,-0.37,4.184,100.0,8.54,0.42
EQPT,Risky,33.33,0.0,Industrials,2.33,6.41,6.87,8.46,2.199,1.02,8.38,
CVI,Risky,24.43,14.81,Energy,2.24,3.03,26.54,5.78,1.958,1.25,2.46,1.1
GFS,Risky,48.74,0.0,Technology,2.24,-0.47,11.55,10.42,3.031,-0.6,27.08,1.49
LEG,Risky,12.4,7.7,Consumer Cyclical,2.22,-15.04,6.8,7.98,2.152,-4.93,1.68,0.73
NVRI,Risky,19.38,0.0,Industrials,2.13,0.51,3.65,3.3,1.203,0.09,1.56,1.78
WAY,Risky,23.73,36.51,Healthcare,2.11,2.79,22.42,13.55,3.892,0.85,4.54,
DAN,Risky,33.4,75.91,Consumer Cyclical,2.1,4.89,3.86,3.32,1.307,1.5,3.9,2.1
AMTM,Risky,30.39,75.97,Industrials,2.06,5.14,3.61,2.59,1.418,1.33,7.41,
ST,Risky,37.22,0.0,Technology,2.06,2.24,10.97,14.28,2.906,0.92,5.42,1.15
AA,Risky,63.15,14.29,Basic Materials,2.05,4.17,10.9,8.07,1.453,2.85,16.35,1.86
PENG,Risky,18.93,86.05,Technology,2.03,4.92,6.95,4.67,2.329,7.69,0.99,2.2
GO,Risky,9.79,0.0,Consumer Defensive,1.98,2.98,2.07,2.63,1.298,3.01,0.96,0.51
REZI,Risky,36.4,0.0,Industrials,1.97,4.71,8.42,9.4,1.882,3.73,5.45,1.74
VFF,Risky,3.13,62.6,Consumer Defensive,1.94,-10.38,24.48,-7.79,2.777,-10.09,0.36,1.26
RERE,Risky,5.81,34.18,Consumer Cyclical,1.92,0.39,2.35,-5.2,3.296,0.97,1.29,0.18
TIC,Risky,9.78,0.0,Industrials,1.87,2.65,2.58,-inf,2.407,0.93,2.16,0.44
HLMN,Risky,10.3,54.21,Industrials,1.85,4.13,10.87,3.39,2.457,1.45,2.04,1.66
CCC,Risky,5.18,0.0,Technology,1.82,3.6,11.3,0.21,1.517,1.69,3.37,0.69
CXM,Risky,5.68,13.85,Technology,1.81,3.6,5.51,-4.6,1.657,100.0,1.4,0.77
DBI,Risky,6.65,0.0,Consumer Cyclical,1.81,2.52,5.68,3.81,1.266,0.77,0.33,1.08
TECK,Risky,60.38,33.36,Basic Materials,1.8,0.13,13.68,20.92,2.783,0.07,29.56,1.5
CNH,Risky,12.8,26.67,Industrials,1.79,10.91,3.36,18.47,5.181,1.9,16.01,1.35
JAZZ,Risky,166.24,0.0,Healthcare,1.79,6.46,22.33,13.24,1.652,2.98,10.1,0.25
VALE,Risky,17.38,13.47,Basic Materials,1.79,11.95,32.32,42.18,1.237,6.08,74.19,0.94
HLX,Risky,8.85,31.61,Energy,1.78,5.06,12.69,1.88,2.541,3.42,1.3,1.24
HP,Risky,34.32,0.0,Energy,1.77,0.57,4.33,10.47,2.026,0.31,3.41,0.54
HUN,Risky,14.06,0.0,Basic Materials,1.77,0.72,1.51,5.5,1.363,0.51,2.44,0.7
AVTR,Risky,9.64,0.0,Healthcare,1.76,10.61,8.48,12.48,1.488,4.9,6.57,0.95
DCH,Risky,8.59,25.26,Consumer Cyclical,1.75,6.4,4.54,4.41,1.774,1.34,2.02,1.59
NTR,Risky,73.07,19.7,Basic Materials,1.74,4.71,13.48,17.5,1.409,2.54,35.59,1.14
CC,Risky,21.02,0.0,Basic Materials,1.73,6.85,6.96,6.94,1.706,1.48,3.15,1.64
NABL,Risky,5.44,0.0,Technology,1.72,7.09,13.0,14.18,1.265,2.81,1.02,0.6
BAX,Risky,22.27,0.0,Healthcare,1.71,0.62,10.12,5.42,1.837,0.29,11.45,0.58
VFC,Risky,20.81,36.51,Consumer Cyclical,1.71,4.78,10.95,7.65,1.549,1.83,8.14,1.67
KMX,Risky,45.8,15.02,Consumer Cyclical,1.68,6.11,1.83,-0.23,1.993,1.77,6.73,1.35
GPK,Risky,12.41,8.39,Consumer Cyclical,1.66,12.08,7.08,11.15,1.299,4.85,3.66,0.63
CWH,Risky,12.84,0.0,Consumer Cyclical,1.65,4.57,4.45,6.8,1.264,0.62,0.81,2.13
SHC,Risky,17.37,86.85,Healthcare,1.62,9.67,40.56,26.43,2.384,1.69,4.93,1.83
BIDU,Risky,145.12,12.93,Communication Services,1.6,9.07,3.52,13.38,1.907,11.14,50.59,0.29
SOLV,Risky,81.49,9.36,Healthcare,1.6,8.27,7.82,19.25,1.5,2.65,14.13,
AAP,Risky,59.63,0.0,Consumer Cyclical,1.59,-11.2,2.9,1.45,1.729,-8.48,3.58,1.17
KSS,Risky,18.78,10.86,Consumer Cyclical,1.56,4.15,2.15,4.31,1.303,1.36,2.11,1.44
CERT,Risky,6.93,99.0,Healthcare,1.54,0.3,6.53,3.93,2.09,0.2,1.1,1.48
FOUR,Risky,58.74,27.45,Technology,1.54,1.64,11.47,3.24,1.379,0.97,5.21,1.61
UMC,Risky,10.3,19.07,Technology,1.54,12.16,19.78,27.27,2.304,34.98,25.93,1.02
GEO,Risky,15.83,9.37,Industrials,1.53,6.96,11.48,14.08,1.622,1.2,2.24,0.76
BOX,Risky,23.33,18.66,Technology,1.52,12.24,8.32,3.19,1.2,15.02,3.34,0.79
SBLK,Risky,23.97,51.0,Industrials,1.52,10.78,14.1,37.16,1.725,4.28,2.74,0.77
VSTS,Risky,8.67,0.0,Industrials,1.49,1.92,2.5,5.71,2.175,0.52,1.14,
HMC,Risky,32.4,13.61,Consumer Cyclical,1.48,6.19,2.87,5.74,1.361,25.0,42.11,0.08
SSL,Risky,7.59,11.5,Basic Materials,1.47,7.45,16.08,17.97,1.874,2.32,4.84,0.16
GLNG,Risky,44.2,80.36,Energy,1.46,2.5,39.82,30.45,1.317,100.0,4.53,0.18
IEP,Risky,8.23,0.0,Energy,1.46,-0.32,18.08,2.0,1.849,-0.08,4.94,0.74
ENR,Risky,23.13,7.79,Industrials,1.44,11.65,8.63,13.53,1.993,2.84,1.59,0.63
ET,Risky,18.21,14.57,Energy,1.42,9.08,10.79,10.95,1.405,3.27,62.52,0.64
CE,Risky,60.56,0.0,Basic Materials,1.38,-1.68,9.05,14.55,1.634,-0.47,6.63,1.1
WYNN,Risky,115.51,25.61,Consumer Cyclical,1.35,11.64,16.93,5.65,1.757,1.93,12.01,1.01
HSAI,Risky,25.99,56.5,Consumer Cyclical,1.33,-2.03,9.73,-27.14,5.755,-6.89,4.17,1.15
SW,Risky,50.28,34.44,Consumer Cyclical,1.33,2.98,7.67,10.51,1.482,2.07,26.27,1.01
IFF,Risky,76.97,0.0,Basic Materials,1.3,2.4,9.13,6.56,1.444,1.91,19.73,1.04
OI,Risky,15.58,0.0,Consumer Cyclical,1.24,5.74,11.01,8.97,1.335,1.11,2.4,0.8
ACHC,Risky,15.53,13.39,Healthcare,1.18,8.52,14.04,17.48,1.444,3.94,1.4,0.88
ECVT,Risky,11.66,0.0,Basic Materials,1.18,2.63,16.42,14.17,2.249,0.9,1.33,1.15
OGN,Risky,7.69,4.03,Healthcare,1.18,12.78,23.1,25.6,1.754,2.55,2.0,0.55
ARRY,Risky,11.1,0.0,Technology,1.15,-21.83,13.97,5.21,1.89,-6.2,1.7,1.7
TCOM,Risky,57.94,15.53,Consumer Cyclical,1.15,11.12,30.4,13.53,1.485,10.8,37.87,-0.18
FIVN,Risky,16.59,43.66,Technology,1.13,0.15,5.65,-9.06,4.614,0.14,1.3,1.31
AMCR,Risky,50.09,37.66,Consumer Cyclical,1.11,3.48,8.29,9.52,1.301,2.64,23.14,0.67
PAGS,Risky,11.17,7.98,Technology,1.11,20.32,38.37,30.23,1.42,1.64,3.26,1.37
AROC,Risky,32.39,21.45,Energy,1.09,9.79,38.65,23.09,1.557,2.88,5.68,0.91
TV,Risky,3.32,0.0,Communication Services,1.08,0.12,6.35,4.88,2.306,0.03,1.77,1.63
DXC,Risky,13.82,6.01,Technology,1.07,10.18,7.26,1.13,1.348,3.38,2.41,1.08
PLTK,Risky,3.41,14.21,Communication Services,1.06,14.14,19.37,19.85,1.413,2.81,1.28,0.83
VTRS,Risky,16.13,0.0,Healthcare,1.06,-0.2,10.76,5.31,1.351,-0.13,18.62,0.8
SRE,Risky,91.18,28.06,Utilities,1.05,3.65,14.5,21.14,1.587,3.01,59.51,0.75
NTNX,Risky,41.43,54.51,Technology,1.03,11.77,7.36,-8.25,1.885,26.26,11.2,0.48
BGS,Risky,5.13,0.0,Consumer Defensive,1.02,-6.28,11.71,10.61,3.205,-1.1,0.41,0.54
FOLD,Risky,14.31,0.0,Healthcare,0.98,3.28,20.27,-34.87,2.986,0.42,4.49,0.43
IRDM,Risky,18.46,16.34,Communication Services,0.96,8.03,30.88,13.15,2.673,2.2,1.96,0.64
AVAH,Risky,7.98,21.57,Healthcare,0.92,12.39,11.0,5.11,1.227,1.03,1.67,2.06
CMS,Risky,74.52,21.11,Utilities,0.92,5.62,19.48,17.7,1.34,2.56,22.68,0.48
CNXC,Risky,34.76,0.0,Technology,0.88,-10.41,3.38,7.96,1.404,-3.07,2.16,0.48
MGM,Risky,36.36,47.84,Consumer Cyclical,0.82,4.01,7.06,3.08,1.234,3.52,9.94,1.4
CWEN,Risky,40.06,17.05,Utilities,0.77,2.01,26.81,18.69,1.541,0.89,8.16,1.0
SGRY,Risky,15.0,0.0,Healthcare,0.76,4.8,16.45,14.56,1.881,1.73,1.94,1.97
CYH,Risky,3.37,1.38,Healthcare,0.73,4.95,8.55,7.46,1.468,0.67,0.47,2.12
