Ticker,Tier,Price,Sector,Z-Score,ROIC %,Op Margin %,Curr Ratio,Int Cov,Mkt Cap (B),Analyst_Rating,Target_Price,Upside_%,Num_Analysts
FOXA,Fortress,73.86,Communication Services,3.58,17.07,26.32,3.238,8.6,32.79,2.10526,73.21875,-0.8,16
CIEN,Fortress,238.51,Technology,7.1,5.44,8.76,2.725,2.7,33.64,2.11765,237.125,-0.83,16
ODFL,Fortress,159.5,Industrials,19.19,31.47,25.66,1.204,7348.16,33.52,2.46154,157.54167,-1.26,24
KGC,Fortress,28.135,Basic Materials,5.34,15.62,44.25,2.83,30.33,34.4,1.88889,27.65,-1.97,10
MNST,Fortress,77.601,Consumer Defensive,29.48,29.15,30.74,3.185,100.0,75.82,2.16,76.04545,-2.04,22
FCX,Fortress,51.505,Basic Materials,2.78,14.64,28.06,2.455,22.65,73.96,1.7619,50.32,-2.26,20
CHRW,Fortress,163.97,Industrials,8.68,22.51,5.58,1.585,7.44,19.37,2.03846,157.72,-3.79,25
NYT,Fortress,69.52,Communication Services,10.05,17.26,14.95,1.524,378.01,11.32,1.77778,66.875,-3.83,8
TPR,Fortress,130.465,Consumer Cyclical,3.76,6.0,21.21,1.525,3.53,27.01,1.80952,125.16667,-3.97,18
GM,Fortress,82.885,Consumer Cyclical,1.32,5.1,5.67,1.229,11.07,78.91,2.03846,79.45833,-4.19,24
PAAS,Fortress,52.205,Basic Materials,5.88,7.36,30.05,2.313,10.07,22.03,2.0,50.0,-4.31,8
SQM,Fortress,70.15,Basic Materials,3.43,12.53,24.44,2.823,6.18,20.04,2.47059,66.6875,-4.83,16
LRCX,Fortress,175.89,Technology,15.75,41.53,34.35,2.207,34.43,221.8,1.79412,166.96667,-5.06,30
YETI,Fortress,45.27,Consumer Cyclical,7.17,27.07,11.14,2.163,,3.68,2.375,41.42857,-8.42,14
RVLV,Fortress,31.455,Consumer Cyclical,9.13,10.95,7.44,2.704,100.0,2.24,2.0625,26.69231,-15.13,13
CGAU,Fortress,14.335,Basic Materials,4.52,8.84,34.06,2.888,160.69,2.9,2.5,11.3,-21.25,2
